Year,EU,China,World
1980,208027,37121,716401
1981,200913,35604,707229
1982,185056,37160,645555
1983,184805,40021,663747
1984,198957,43475,710246
1985,199027,46794,718903
1986,190492,52208,713980
1987,191215,56280,735503
1988,203011,59430,780102
1989,203687,61588,785939
1990,191820,66350,770429
1991,181823,71000,733592
1992,173837,80940,719797
1993,174611,89560,727569
1994,184829,92610,725106
1995,190661,95360,753187
1996,178125,101237,750990
1997,193866,108911,799854
1998,191057,114588,778513
1999,182185,123954,790210
2000,193387,128500,850156
2001,187452,151635,852173
2002,188246,182249,905155
2003,192511,222336,971052
2004,202523,272798,1062542
2005,195608,355790,1147805
2006,207306,421023,1250107
2007,210185,489712,1348122
2008,198616,512338,1343269
2009,139393,577070,1238285
2010,172816,638742,1432761
2011,177717,701968,1537206
2012,168580,731039,1559472
2013,166208,821990,1649303
